name,baseType,dustValIlvl84,dustValIlvl84Q20,slots
Voice of the Storm,Lapis Amulet,15825,22155,1
Fury Valve,Turquoise Amulet,15825,22155,1
Mother's Embrace,Heavy Belt,15825,22155,2
Blood Price,Reaver Helmet,15825,22155,4
Thousand Teeth Temu,Vaal Buckler,15625,21875,4
The Broken Crown,Prophet Crown,15625,21875,4
The Retch,Rustic Sash,15450,21630,2
Voidbringer,Conjurer Gloves,15425,21595,4
Dance of the Offered,Carnal Boots,15425,21595,4
Sin Trek,Stealth Boots,15175,21245,4
Chin Sol,Assassin Bow,15175,21245,8
Wings of Entropy,Ezomyte Axe,15175,21245,8
Sinvicta's Mettle,Ezomyte Axe,15175,21245,8
Voidhome,Dread Maul,14975,20965,8
Pyroshock Clasp,Leather Belt,14975,20965,2
Circle of Nostalgia,Amethyst Ring,14925,20895,1
Chernobog's Pillar,Ebony Tower Shield,14725,20615,8
Kingsguard,Conquest Chainmail,14725,20615,6
Kondo's Pride,Ezomyte Blade,14725,20615,8
Geofri's Crest,Great Crown,14525,20335,4
Bronn's Lithe,Cutthroat's Garb,14525,20335,6
The Consuming Dark,Fiend Dagger,14525,20335,3
The Coming Calamity,Destroyer Regalia,14525,20335,6
Command of the Pit,Riveted Gloves,14500,20300,4
Replica Harvest,Jasper Chopper,14500,20300,8
Cameria's Maul,Gavel,14300,20020,6
Balefire,Opal Sceptre,14300,20020,6
The Wasp Nest,Throat Stabber,14300,20020,4
Taproot,Ambusher,14300,20020,3
The Druggery,Cloth Belt,14300,20020,2
Goblinedge,Ambusher,14300,20020,3
The Redblade,Gladius,14300,20020,6
Victario's Influence,Lacquered Garb,14100,19740,6
Crown of the Pale King,Regicide Mask,14100,19740,4
Oskarm,Nubuck Gloves,14100,19740,4
Aurseize,Steelscale Gauntlets,14075,19705,4
Tombfist,Steelscale Gauntlets,14075,19705,4
Vixen's Entrapment,Embroidered Gloves,14075,19705,4
Moonsorrow,Imbued Wand,13875,19425,3
Obliteration,Imbued Wand,13875,19425,3
Replica Soul Taker,Siege Axe,13875,19425,6
The Dancing Duo,Reaver Sword,13875,19425,8
The Fledgling,Lacquered Helmet,13700,19180,4
Voll's Protector,Holy Chainmail,13650,19110,6
Meginord's Vise,Steel Gauntlets,13650,19110,4
Redblade Banner,Painted Tower Shield,13650,19110,8
Xoph's Heart,Amber Amulet,13650,19110,1
The Halcyon,Jade Amulet,13650,19110,1
Replica Earendel's Embrace,Grinning Fetish,13650,19110,6
Gang's Momentum,Legion Boots,13475,18865,4
Femurs of the Saints,Primordial Staff,13475,18865,8
March of the Legion,Legion Boots,13475,18865,4
Sign of the Sin Eater,Tyrant's Sekhem,13475,18865,6
Rotting Legion,Loricated Ringmail,13475,18865,6
The Burden of Shadows,Primordial Staff,13475,18865,8
Warped Timepiece,Turquoise Amulet,13300,18620,1
Heartbound Loop,Moonstone Ring,13300,18620,1
Frostbreath,Ornate Mace,13300,18620,6
Darkness Enthroned,Stygian Vise,13300,18620,2
Perquil's Toe,Gold Amulet,13300,18620,1
Nametaker,Graceful Sword,13300,18620,6
Soul Mantle,Spidersilk Robe,12925,18095,6
Alberon's Warpath,Soldier Boots,12925,18095,4
Sire of Shards,Serpentine Staff,12925,18095,8
Wyrmsign,Wyrmscale Gauntlets,12925,18095,4
Venopuncture,Iron Ring,12925,18095,1
Icefang Orbit,Iron Ring,12925,18095,1
Shattershard,Crimson Round Shield,12925,18095,6
Steelworm,Broadhead Arrow Quiver,12925,18095,6
Tanu Ahi,Wyrmscale Gauntlets,12925,18095,4
Bloodsoaked Medallion,Amber Amulet,12925,18095,1
Windscream,Reinforced Greaves,12875,18025,4
Deidbell,Gilded Sallet,12875,18025,4
The Whispering Ice,Vile Staff,12875,18025,8
Gluttony,Leather Belt,12525,17535,2
Nightgrip,Runic Gages,12525,17535,4
Olroth's Charge,Runic Sollerets,12525,17535,4
Sudden Dawn,Steel Circlet,12525,17535,4
Ephemeral Edge,Dusk Blade,625025,875035,6
Death's Harp,Death Bow,12500,17500,8
Bitterdream,Shadow Sceptre,12500,17500,6
Replica Iron Commander,Death Bow,12500,17500,8
Hrimnor's Resolve,Samnite Helmet,12325,17255,4
Rat's Nest,Ursine Pelt,12325,17255,4
Maloney's Nightfall,Vile Arrow Quiver,12325,17255,6
Three-step Assault,Shagreen Boots,12325,17255,4
The Ascetic,Gold Amulet,12325,17255,1
The Highwayman,Gold Ring,12325,17255,1
Innsbury Edge,Elder Sword,12175,17045,6
The Fracturing Spinner,Blunt Arrow Quiver,12125,16975,6
Atziri's Mirror,Golden Buckler,11975,16765,4
Great Old One's Ward,Corrugated Buckler,11825,16555,4
Replica Advancing Fortress,Gut Ripper,11825,16555,4
Kahuturoa's Certainty,Ancient Greaves,11825,16555,4
Umbilicus Immortalis,Leather Belt,11775,16485,2
Xirgil's Crank,Coiled Staff,11775,16485,8
Bisco's Collar,Gold Amulet,11775,16485,1
Bisco's Leash,Heavy Belt,11775,16485,2
Replica Lioneye's Paws,Bronzescale Boots,11775,16485,4
Relic of the Pact,Sage Wand,11775,16485,3
Infractem,Decimation Bow,11625,16275,8
Prismatic Eclipse,Twilight Blade,11625,16275,6
Empire's Grasp,Goliath Gauntlets,11625,16275,4
Replica Forbidden Shako,Great Crown,11625,16275,4
Geofri's Legacy,Great Crown,11625,16275,4
Voideye,Unset Ring,11475,16065,1
Malachai's Artifice,Unset Ring,11475,16065,1
Kongming's Stratagem,Ancient Spirit Shield,11475,16065,4
Essence Worm,Unset Ring,11475,16065,1
Architect's Hand,Ambush Mitts,11475,16065,4
The Annihilating Light,Quarterstaff,11475,16065,8
Stormseeker,Ambush Mitts,11475,16065,4
The Geomantic Gyre,Highborn Staff,11300,15820,8
Maligaro's Restraint,Chain Belt,11150,15610,2
Jorrhast's Blacksteel,Steelhead,11150,15610,8
Natural Hierarchy,Rotfeather Talisman,53475,74865,1
Ascent From Flesh,Chain Belt,11150,15610,2
Kitava's Thirst,Zealot Helmet,11150,15610,4
Soulbound,Paua Ring,11150,15610,1
Doomfletch,Royal Bow,11100,15540,8
Brutus' Lead Sprinkler,Ritual Sceptre,11100,15540,6
Terminus Est,Tiger Sword,10950,15330,8
Black Sun Crest,Lacquered Helmet,10950,15330,4
Southbound,Soldier Gloves,10950,15330,4
Ambu's Charge,Crusader Chainmail,10825,15155,6
Replica Ambu's Charge,Crusader Chainmail,10825,15155,6
Vaal Caress,Bronzescale Gauntlets,10775,15085,4
Heartbreaker,Royal Skean,10650,14910,3
Immortal Flesh,Leather Belt,10650,14910,2
Victario's Charity,Laminated Kite Shield,10650,14910,6
The Embalmer,Carnal Mitts,10650,14910,4
Zeel's Amplifier,Polished Spiked Shield,10325,14455,4
The Eternal Apple,Chiming Spirit Shield,10325,14455,4
Pragmatism,Colosseum Plate,10325,14455,6
Demon Stitcher,Satin Gloves,10200,14280,4
Eye of Chayula,Onyx Amulet,10175,14245,1
The Eternal Struggle,Onyx Amulet,10175,14245,1
Midnight Bargain,Engraved Wand,9900,13860,3
Ceinture of Benevolence,Cloth Belt,9900,13860,2
Dream Fragments,Sapphire Ring,9875,13825,1
Reverberation Rod,Spiraled Wand,9875,13825,3
Winterweave,Coral Ring,9875,13825,1
Bloodboil,Coral Ring,9875,13825,1
Doedre's Tongue,Lapis Amulet,9875,13825,1
Kalisa's Grace,Samite Gloves,9750,13650,4
Lightbane Raiment,Ornate Ringmail,9750,13650,6
Doedre's Scorn,Lunaris Circlet,9600,13440,4
Moonbender's Wing,Tomahawk,9600,13440,6
The Flawed Refuge,Maple Round Shield,9600,13440,6
Ungil's Harmony,Turquoise Amulet,9575,13405,1
Brinerot Flag,Tarnished Spirit Shield,9575,13405,4
Ornament of the East,Gut Ripper,9450,13230,4
Advancing Fortress,Gut Ripper,9450,13230,4
Valako's Sign,Topaz Ring,9325,13055,1
Replica Bones of Ullr,Silk Slippers,9300,13020,4
The Blood Reaper,Headsman Axe,9175,12845,8
Sibyl's Lament,Coral Ring,9175,12845,1
The Anvil,Amber Amulet,9175,12845,1
Maligaro's Lens,Compound Spiked Shield,9175,12845,4
Mark of Submission,Unset Ring,9175,12845,1
The Signal Fire,Blazing Arrow Quiver,9175,12845,6
Corona Solaris,Crystal Wand,9175,12845,3
The Harvest,Jasper Chopper,9050,12670,8
Rigwald's Charge,Highland Blade,8900,12460,8
Widowmaker,Boot Blade,8900,12460,3
Siegebreaker,Heavy Belt,8900,12460,2
Tawhanuku's Timing,Moonstone Ring,8900,12460,1
Heatshiver,Leather Hood,8775,12285,4
Berek's Respite,Two-Stone Ring,8775,12285,1
Rigwald's Crest,Two-Stone Ring,8775,12285,1
The Flow Untethered,Cloth Belt,8775,12285,2
Replica Tempestuous Steel,War Sword,8775,12285,6
Arn's Anguish,Cloth Belt,8775,12285,2
Olesya's Delight,Cloth Belt,8775,12285,2
Graven's Secret,Cloth Belt,8775,12285,2
Ixchel's Temptation,Gold Ring,8775,12285,1
Replica Heatshiver,Leather Hood,8775,12285,4
Daresso's Passion,Estoc,8650,12110,4
El'Abin's Visage,Fencer Helm,8650,12110,4
Bloodbond,Bone Armour,8525,11935,6
Wurm's Molt,Leather Belt,8400,11760,2
Winterheart,Gold Amulet,8400,11760,1
Goldwyrm,Nubuck Boots,8300,11620,4
The Primordial Chain,Coral Amulet,8300,11620,1
Plume of Pursuit,Bone Circlet,8300,11620,4
Cloak of Flame,Scholar's Robe,8275,11585,6
Clayshaper,Rock Breaker,8150,11410,6
Sentari's Answer,Brass Spirit Shield,8050,11270,4
Chober Chaber,Great Mallet,7925,11095,8
Eclipse Solaris,Engraved Wand,290675,406945,3
Chaber Cairn,Great Mallet,7925,11095,8
The Aylardex,Agate Amulet,7825,10955,1
Iron Commander,Death Bow,7825,10955,8
Replica Bitterdream,Shadow Sceptre,7825,10955,6
Ahkeli's Valley,Ruby Ring,7800,10920,1
Precursor's Emblem,Ruby Ring,7800,10920,1
Circle of Anguish,Ruby Ring,7800,10920,1
Icetomb,Latticed Ringmail,7675,10745,6
Crystal Vault,Latticed Ringmail,7675,10745,6
Orbala's Stand,Eelskin Boots,7675,10745,4
Rearguard,Blunt Arrow Quiver,7575,10605,6
Shadows and Dust,Clasped Mitts,7575,10605,4
Demigod's Beacon,Golden Flame,7575,10605,6
Aukuna's Will,Clasped Mitts,7575,10605,4
Replica Winterheart,Gold Amulet,7575,10605,1
Valyrium,Moonstone Ring,7475,10465,1
Lioneye's Paws,Bronzescale Boots,7375,10325,4
Thief's Torment,Prismatic Ring,7375,10325,1
Lori's Lantern,Prismatic Ring,7375,10325,1
Replica Twyzel,Sage Wand,7375,10325,3
Zahndethus' Cassock,Sage's Robe,7250,10150,6
Mindspiral,Aventail Helmet,7250,10150,4
Cybil's Paw,Thresher Claw,7250,10150,4
Torchoak Step,Antique Greaves,7250,10150,4
Chalice of Horrors,War Buckler,7150,10010,4
Ngamahu's Sign,Ruby Ring,7150,10010,1
Skullhead,Secutor Helm,7025,9835,4
Skirmish,Two-Point Arrow Quiver,7025,9835,6
Gifts from Above,Diamond Ring,6950,9730,1
Blightwell,Clutching Talisman,11100,15540,1
Replica Leer Cast,Festival Mask,6950,9730,4
Putembo's Meadow,Topaz Ring,6925,9695,1
Circle of Regret,Topaz Ring,6925,9695,1
The Three Dragons,Golden Mask,6825,9555,4
Earendel's Embrace,Grinning Fetish,6825,9555,6
Willclash,Golden Mask,6825,9555,4
Lycosidae,Rawhide Tower Shield,6725,9415,8
Mortem Morsu,Fright Claw,6625,9275,4
Al Dhih,Timeworn Claw,6550,9170,4
The Baron,Close Helmet,6550,9170,4
Fairgraves' Tricorne,Tricorne,6525,9135,4
Hyperboreus,Leather Belt,6525,9135,2
Survivor's Guilt,Heavy Belt,6525,9135,2
Reaper's Pursuit,Shadow Axe,6450,9030,8
Deidbellow,Gilded Sallet,6450,9030,4
Windshriek,Reinforced Greaves,6450,9030,4
Drillneck,Penetrating Arrow Quiver,6350,8890,6
Timeclasp,Moonstone Ring,6350,8890,1
Faithguard,Runic Helm,6350,8890,4
Shavronne's Pace,Scholar Boots,6250,8750,4
Briskwrap,Sun Leather,6250,8750,6
Flesh-Eater,Dream Mace,6250,8750,6
Triad Grip,Mesh Gloves,6250,8750,4
Shavronne's Gambit,Scholar Boots,6250,8750,4
Death's Opus,Death Bow,6250,8750,8
Le Heup of All,Iron Ring,6175,8645,1
Pyre,Sapphire Ring,6150,8610,1
Uzaza's Mountain,Sapphire Ring,6150,8610,1
Circle of Fear,Sapphire Ring,6150,8610,1
Replica Tasalio's Sign,Sapphire Ring,6150,8610,1
Call of the Void,Sapphire Ring,12300,14760,1
Ikiaho's Promise,Coral Amulet,6075,8505,1
Matua Tupuna,Tarnished Spirit Shield,6000,8400,4
The Trickster's Smile,Visored Sallet,6000,8400,4
Blood of Corruption,Amber Amulet,5975,8365,1
Replica Karui Ward,Jade Amulet,5975,8365,1
Mightflay,Flaying Knife,5900,8260,3
Titucius' Span,Reinforced Tower Shield,5900,8260,8
Twyzel,Sage Wand,5900,8260,3
Chitus' Needle,Elegant Foil,5900,8260,4
The Warden's Brand,Iron Ring,5900,8260,1
Retaliation Charm,Citrine Amulet,5900,8260,1
Elevore,Wolf Pelt,5900,8260,4
Veil of the Night,Great Helmet,5825,8155,4
Edge of Madness,Etched Greatsword,5825,8155,8
Replica Veil of the Night,Great Helmet,5825,8155,4
Relentless Fury,Decorative Axe,5725,8015,6
Thirst for Horrors,War Buckler,5725,8015,4
Fated End,Paua Ring,5625,7875,1
Replica Doedre's Damning,Paua Ring,5625,7875,1
Wake of Destruction,Mesh Boots,5550,7770,4
Leer Cast,Festival Mask,5550,7770,4
Lakishu's Blade,Elegant Sword,5550,7770,6
The Stormheart,Royal Staff,5550,7770,8
Viper's Scales,Full Scale Armour,5550,7770,6
Doomfletch's Prism,Royal Bow,5550,7770,8
The Stormwall,Royal Staff,5550,7770,8
Meginord's Girdle,Heavy Belt,5475,7665,2
Berek's Pass,Two-Stone Ring,5475,7665,1
Berek's Grip,Two-Stone Ring,5475,7665,1
Kikazaru,Topaz Ring,5475,7665,1
Belt of the Deceiver,Heavy Belt,5475,7665,2
Tasalio's Sign,Sapphire Ring,5475,7665,1
Maligaro's Cruelty,Turquoise Amulet,5475,7665,1
Curtain Call,Plague Mask,5475,7665,4
The Felbog Fang,Citrine Amulet,5475,7665,1
Honoured Alliance,Coral Ring,5475,7665,1
Geofri's Baptism,Brass Maul,5400,7560,8
Sundance,Clasped Boots,5400,7560,4
Slitherpinch,Bronzescale Gauntlets,5400,7560,4
Queen's Decree,Ornate Sword,5400,7560,8
Glitterdisc,Burnished Spiked Shield,5400,7560,4
Queen's Escape,Ornate Sword,5400,7560,8
Sunspite,Clasped Boots,5400,7560,4
Geofri's Devotion,Brass Maul,5400,7560,8
Thousand Ribbons,Simple Robe,5300,7420,6
Tabula Rasa,Simple Robe,5300,7420,6
Ewar's Mirage,Antique Rapier,5225,7315,4
Mark of the Red Covenant,Tribal Circlet,5225,7315,4
Coward's Legacy,Chain Belt,5150,7210,2
Circle of Guilt,Iron Ring,5150,7210,1
Chains of Emancipation,Chain Belt,5150,7210,2
Carnage Heart,Onyx Amulet,5075,7105,1
Foxshade,Wild Leather,5075,7105,6
Prismweave,Rustic Sash,5075,7105,2
Duskwing,Saqawine Vulture,5075,7105,1
Timetwist,Moonstone Ring,5075,7105,1
Fox's Fortune,Wild Leather,5075,7105,6
Malachai's Simula,Iron Mask,5025,7035,4
Ashrend,Buckskin Tunic,5025,7035,6
Solaris Lorica,Copper Plate,5025,7035,6
Trolltimber Spire,Cedar Tower Shield,5025,7035,8
Widowhail,Crude Bow,5000,7000,6
Storm Prison,Spiraled Wand,4925,6895,3
Amplification Rod,Spiraled Wand,4925,6895,3
Facebreaker,Strapped Mitts,4875,6825,4
Mokou's Embrace,Ruby Ring,4875,6825,1
Ahkeli's Mountain,Ruby Ring,4875,6825,1
The Peregrine,Visored Sallet,4800,6720,4
Stormcharger,Plated Greaves,4800,6720,4
Giantsbane,Bronze Gauntlets,4800,6720,4
Whakatutuki o Matua,Tarnished Spirit Shield,4800,6720,4
Flesh and Spirit,Ironscale Gauntlets,4725,6615,4
Replica Bloodplay,Stiletto,4725,6615,3
Bones of Ullr,Silk Slippers,4650,6510,4
Quecholli,Jagged Maul,4650,6510,8
Deerstalker,Deerskin Boots,4650,6510,4
Fidelitas' Spike,Jagged Foil,4650,6510,4
Bated Breath,Chain Belt,4650,6510,2
Praxis,Paua Ring,4650,6510,1
Panquetzaliztli,Jagged Maul,4650,6510,8
Perandus Blazon,Cloth Belt,4375,6125,2
Ungil's Gauche,Boot Knife,4375,6125,3
Brightbeak,War Hammer,4375,6125,6
Daresso's Salute,Citrine Amulet,4375,6125,1
Victario's Acuity,Turquoise Amulet,4375,6125,1
Asphyxia's Wrath,Feathered Arrow Quiver,4375,6125,6
Shaper's Seed,Agate Amulet,4375,6125,1
The Deep One's Hide,Studded Round Shield,4375,6125,6
Lavianga's Wisdom,War Hammer,4375,6125,6
Spine of the First Claimant,Iron Sceptre,4375,6125,6
Extractor Mentis,Agate Amulet,4375,6125,1
Demigod's Dominance,Golden Mantle,4375,6125,6
The Tempestuous Steel,War Sword,4375,6125,6
Saemus' Gift,Feathered Arrow Quiver,4375,6125,6
Frostferno,Leather Hood,4375,6125,4
The Tactician,Studded Belt,4375,6125,2
The Nomad,Studded Belt,4375,6125,2
Victario's Flight,Goathide Boots,4325,6055,4
Ashcaller,Carved Wand,4325,6055,3
Putembo's Valley,Topaz Ring,4325,6055,1
Ghostwrithe,Silken Vest,4200,5880,6
Dusktoe,Ironscale Boots,4125,5775,4
Wideswing,Poleaxe,4125,5775,8
Faminebind,Rustic Sash,4125,5775,2
Roth's Reach,Recurve Bow,4125,5775,8
Duskblight,Ironscale Boots,4125,5775,4
Thrillsteel,Barbute Helmet,4125,5775,4
Doryani's Invitation,Heavy Belt,4075,5705,2
Night's Hold,Black Maw Talisman,4075,5705,1
String of Servitude,Heavy Belt,4075,5705,2
Bear's Girdle,Leather Belt,4075,5705,2
Hrimnor's Hymn,Sledgehammer,4000,5600,8
Aurumvorax,Basket Rapier,4000,5600,4
Hrimnor's Dirge,Sledgehammer,4000,5600,8
Malachai's Awakening,Iron Mask,4000,5600,4
Kaltenhalt,Painted Buckler,3900,5460,4
Nomic's Storm,Strapped Boots,3900,5460,4
Dreadarc,Cleaver,3900,5460,6
Kaltensoul,Painted Buckler,3900,5460,4
Dreadsurge,Cleaver,3900,5460,6
Uzaza's Meadow,Sapphire Ring,3850,5390,1
Wreath of Phrecia,Iron Circlet,3850,5390,4
Demigod's Presence,Gold Amulet,3775,5285,1
The Ignomon,Gold Amulet,3775,5285,1
Bloodplay,Stiletto,3775,5285,3
The Effigon,Gold Amulet,3775,5285,1
The Untouched Soul,Gold Amulet,3775,5285,1
Tipua Kaikohuru,Whalebone Rapier,3725,5215,4
The Goddess Bound,Whalebone Rapier,3725,5215,4
Shackles of the Wretched,Chain Gloves,3725,5215,4
Hyrri's Bite,Sharktooth Arrow Quiver,3675,5145,6
Hyrri's Demise,Sharktooth Arrow Quiver,3675,5145,6
Chain of Endurance,Chain Belt,3675,5145,2
Limbsplit,Woodsplitter,3575,5005,8
Pillar of the Caged God,Iron Staff,3575,5005,8
Dying Breath,Iron Staff,3575,5005,8
Realmshaper,Iron Staff,3575,5005,8
The Cauteriser,Woodsplitter,3575,5005,8
Realm Ender,Iron Staff,3575,5005,8
Doedre's Damning,Paua Ring,3525,4935,1
Quill Rain,Short Bow,3525,4935,6
Replica Quill Rain,Short Bow,3525,4935,6
Shiversting,Bastard Sword,3450,4830,8
Honourhome,Soldier Helmet,3450,4830,4
Doedre's Tenure,Velvet Gloves,3450,4830,4
Demigod's Triumph,Golden Wreath,3450,4830,4
Demigod's Stride,Golden Caligae,3450,4830,4
Demigod's Touch,Golden Bracers,3450,4830,4
Demigod's Bounty,Golden Obi,3450,4830,2
Demigod's Eye,Golden Hoop,3450,4830,1
Wildslash,Awl,3450,4830,4
Demigod's Immortality,Golden Visage,3450,4830,4
Doedre's Malevolence,Velvet Gloves,3450,4830,4
Kaom's Sign,Coral Ring,3425,4795,1
Replica Blood Thorn,Gnarled Branch,3425,4795,4
Replica Fencoil,Gnarled Branch,3425,4795,4
Feastbind,Rustic Sash,3350,4690,2
Sadima's Touch,Wool Gloves,3325,4655,4
Goldrim,Leather Cap,3325,4655,4
Sacrificial Heart,Paua Amulet,3325,4655,1
Replica Last Resort,Nailed Fist,3325,4655,4
The Princess,Sabre,3250,4550,3
Gorebreaker,Spiked Club,3250,4550,3
Axiom Perpetuum,Bronze Sceptre,3250,4550,6
Coward's Chains,Chain Belt,3225,4515,2
Replica Prismweave,Rustic Sash,3225,4515,2
Wondertrap,Velvet Slippers,3175,4445,4
Hrimsorrow,Goathide Gloves,3175,4445,4
Storm Cloud,Long Bow,3175,4445,8
Hrimburn,Goathide Gloves,3175,4445,4
Greedtrap,Velvet Slippers,3175,4445,4
Wildwrap,Strapped Leather,3175,4445,6
Bramblejack,Plate Vest,3125,4375,6
Crest of Perandus,Pine Buckler,3075,4305,4
Asenath's Chant,Iron Circlet,3075,4305,4
Stone of Lazhwar,Lapis Amulet,2975,4165,1
Karui Ward,Jade Amulet,2975,4165,1
Springleaf,Plank Kite Shield,2975,4165,6
Tear of Purity,Lapis Amulet,2975,4165,1
Karui Charge,Jade Amulet,2975,4165,1
The Oak,Plank Kite Shield,2975,4165,6
The Screaming Eagle,Jade Hatchet,2900,4060,6
Abberath's Horn,Goat's Horn,2900,4060,3
The Gryphon,Jade Hatchet,2900,4060,6
Ondar's Clasp,Wrapped Mitts,2825,3955,4
Wheel of the Stormsail,Rotted Round Shield,2825,3955,6
Goredrill,Skinning Knife,2825,3955,3
Sanguine Gambol,Skinning Knife,2825,3955,3
The Megalomaniac,Bronze Stalker Sentinel,2825,3955,4
Fencoil,Gnarled Branch,2725,3815,4
Craghead,Serrated Arrow Quiver,2725,3815,6
The Blood Thorn,Gnarled Branch,2725,3815,4
Kaom's Way,Coral Ring,2725,3815,1
Cragfall,Serrated Arrow Quiver,2725,3815,6
Mirebough,Gnarled Branch,2725,3815,4
Sidhebreath,Paua Amulet,2650,3710,1
Crown of Thorns,Vine Circlet,2650,3710,4
Araku Tiki,Coral Amulet,2650,3710,1
Wanderlust,Wool Shoes,2650,3710,4
Last Resort,Nailed Fist,2650,3710,4
Ngamahu Tiki,Coral Amulet,2650,3710,1
Martyr's Crown,Vine Circlet,2650,3710,4
Blackheart,Iron Ring,2575,3605,1
Blackgleam,Blazing Arrow Quiver,2575,3605,6
Voidheart,Iron Ring,2575,3605,1
Oni-Goroshi,Charan's Sword,2575,3605,6
Redbeak,Rusted Sword,2500,3500,3
Silverbranch,Crude Bow,2500,3500,6
Ezomyte Peak,Iron Hat,2500,3500,4
Lochtonial Caress,Iron Gauntlets,2500,3500,4
Lifesprig,Driftwood Wand,2500,3500,3
Talisman of the Victor,Jet Amulet,2500,3500,1
Demigod's Authority,Golden Blade,2500,3500,6
Wall of Brambles,Plate Vest,2500,3500,6
Ezomyte Hold,Iron Hat,2500,3500,4
Silverbough,Crude Bow,2500,3500,6
Dreadbeak,Rusted Sword,2500,3500,3
Grace of the Goddess,Prophecy Wand,108700,152180,3
Starcaller,Abyssal Axe,348825,488355,8
Legacy of the Rose,Judgement Staff,348825,488355,8
The Living Blade,Ezomyte Blade,29450,41230,8
Tawhoa's Felling,Piledriver,18400,25760,8
Cadigan's Authority,Platinum Sceptre,30350,42490,3
Mystic Refractor,Pagan Wand,53050,74270,3
Ynda's Stand,Studded Belt,22575,31605,2
The Tides of Time,Vanguard Belt,189000,239400,2
Venarius' Astrolabe,Astrolabe Amulet,534700,588170,1
Coiling Whisper,Amethyst Ring,149250,208950,1
Enmity's Embrace,Vermillion Ring,154975,216965,1
Binds of Bloody Vengeance,Vanguard Belt,252000,352800,2
Circle of Ambition,Prismatic Ring,35350,49490,1
Whispers of Infinity,Seaglass Amulet,129775,181685,1
The Hateful Accuser,Nameless Ring,108700,152180,1
Betrayal's Sting,Steel Ring,146075,204505,1
The Arkhon's Tools,Cloth Belt,131525,184135,2
Squirming Terror,Unset Ring,36725,51415,1
The Queller of Minds,Nameless Ring,18125,25375,1
The Selfish Shepherd,Nameless Ring,18125,25375,1
Soul Tether,Cloth Belt,20050,28070,2
Prospero's Protection,Iron Ring,15625,21875,1
Nevalius Inheritance,Cloth Belt,8775,12285,2
Grattus Signet,Diamond Ring,6350,8890,1
The Tempest,Long Bow,3175,4445,8
Serle's Masterwork,Phantom Mace,14525,20335,6
Svalinn,Girded Tower Shield,65750,92050,8
The Celestial Brace,Goliath Gauntlets,69775,97685,4
The Apostate,Cabalist Regalia,40975,57365,6
Spinehail,Vile Arrow Quiver,123350,172690,6
Seven Teachings,Waxed Garb,125000,175000,6
Kaom's Command,Siege Helmet,20050,28070,4
Hand of Heresy,Martyr Gloves,292150,409010,4
Servant of Decay,Torturer Garb,146075,204505,6
The Devourer of Minds,Pig-Faced Bascinet,140625,178125,4
Ravenous Passion,Zealot Helmet,53475,74865,4
Azadi Crest,Lacquered Buckler,108700,152180,4
The Tempest Rising,Goliath Greaves,71850,100590,4
Admiral's Arrogance,Antique Gauntlets,15375,21525,4
The Dark Monarch,Lich's Circlet,116275,162785,4
The Hand of Phrecia,Mesh Gloves,12500,17500,4
Howlcrack,Ezomyte Burgonet,36225,50715,4
Scornflux,Satin Slippers,22650,31710,4
Veruso's Ambition,Shackled Boots,8300,11620,4
Broadstroke,Shackled Boots,2975,4165,6
The Golden Charlatan,Lion Sword,298400,417760,8
Wing of the Wyvern,Imperial Bow,307350,430290,8
Festering Resentment,Demon Dagger,326075,456505,3
Jiquani's Potential,Imperial Staff,1707500,2390500,8
The Grey Wind,Spectral Axe,38625,54075,6
Unlight Extant,Sage Wand,7375,10325,3
The Monastery Bell,Dream Mace,7825,10955,6
Bitter Instinct,Spiny Round Shield,30350,42490,6
Rigwald's Hunt,General's Brigandine,102450,143430,6
The Hallowed Monarch,Faithful Helmet,42000,58800,4
Hand of the Lords,Carnal Mitts,63850,89390,4
The Caged Mammoth,Antique Gauntlets,15375,21525,4
Refuge in Isolation,Paladin Crown,48700,68180,4
Lost Unity,Formless Ring,79175,110845,1
Woespike,Steel Ring,48700,68180,1
The Unseen Hue,Opal Ring,48700,68180,1
The Sundered Will,Fugitive Ring,9900,13860,1
Bonemeld,Marble Amulet,43250,60550,1
The Will of Uul-Netol,Organic Ring,9900,13860,1
The Will of Esh,Synaptic Ring,9900,13860,1
The Will of Tul,Cryonic Ring,9900,13860,1
The Will of Xoph,Enthalpic Ring,9900,13860,1
Cowards' Wail,Ezomyte Tower Shield,32200,45080,8
Haunting Memories,Turquoise Amulet,26300,36820,1
The Desecrated Chalice,Coronal Maul,23325,32655,8
The Sacred Chalice,Coronal Maul,23325,32655,8
The Flame of Hope,Maraketh Bow,24750,34650,8
Skysunder,Exquisite Blade,38425,53795,8
The Bane of Hope,Maraketh Bow,24750,34650,8
The Broken Elegy,Foul Staff,24675,34545,8
Fleshrender,Exquisite Blade,38425,53795,8
The Sands of Time,Tyrant's Sekhem,80875,113225,6
Khatal's Geyser,Lapis Amulet,14100,19740,1
The Bandit Lord's Band,Gold Ring,74000,103600,1
Screams of the Desiccated,Leather Belt,115300,161420,2
Solerai's Radiance,Chain Belt,4925,6895,2
Khatal's Weeping,Lapis Amulet,14100,19740,1
Replica Gifts from Above,Diamond Ring,6950,9730,1
Saresh's Darkness,Chain Belt,4925,6895,2
Seablister,Spiny Round Shield,24675,34545,6
Spinesnatch,Fleshripper,115300,161420,8
Subsume the Source,Faithful Helmet,126000,176400,4
